epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.006468    0.052582    0.011519    5.373050    5.345746    0.000010    
2           0.061902    0.120623    0.081817    4.949863    4.606101    0.002008    
3           0.114771    0.130869    0.122292    4.515249    4.198968    0.004006    
4           0.154649    0.157023    0.155827    4.220622    3.883419    0.006004    
5           0.199470    0.214135    0.206542    3.960055    3.607998    0.008002    
6           0.216146    0.238143    0.226612    3.763778    3.497552    0.010000    
7           0.238287    0.267091    0.251868    3.569111    3.371075    0.009931    
8           0.263004    0.291364    0.276459    3.439238    3.253603    0.009863    
9           0.298044    0.317840    0.307624    3.301700    3.070819    0.009794    
10          0.313759    0.329728    0.321546    3.186396    2.996744    0.009725    
11          0.332316    0.347730    0.339848    3.092183    2.874295    0.009656    
12          0.341832    0.361713    0.351492    2.991116    2.834521    0.009588    
13          0.363486    0.374535    0.368928    2.922817    2.750996    0.009519    
14          0.380034    0.392880    0.386350    2.832726    2.672701    0.009450    
15          0.386138    0.404472    0.395092    2.772620    2.619442    0.009381    
16          0.381852    0.413496    0.397045    2.707852    2.621069    0.009312    
17          0.401201    0.413076    0.407052    2.659602    2.563223    0.009244    
18          0.405421    0.424746    0.414858    2.594488    2.534500    0.009175    
19          0.406828    0.431228    0.418673    2.558234    2.509892    0.009106    
20          0.410573    0.434096    0.422007    2.505573    2.484513    0.009038    
21          0.419907    0.438533    0.429018    2.463683    2.461174    0.008969    
22          0.416683    0.440281    0.428157    2.420392    2.468827    0.008900    
23          0.436445    0.458353    0.447131    2.385637    2.385007    0.008831    
24          0.439062    0.452229    0.445548    2.347025    2.355972    0.008762    
25          0.439652    0.454139    0.446778    2.307838    2.372215    0.008694    
26          0.439356    0.462742    0.450746    2.283540    2.361524    0.008625    
27          0.444115    0.468901    0.456171    2.255077    2.368778    0.008556    
28          0.448569    0.465470    0.456863    2.228446    2.337526    0.008488    
29          0.448604    0.473968    0.460937    2.194154    2.337723    0.008419    
30          0.438155    0.454114    0.445992    2.179516    2.360742    0.008350    
31          0.453047    0.466203    0.459531    2.144342    2.319054    0.008281    
32          0.454083    0.470600    0.462194    2.114966    2.324262    0.008212    
33          0.451969    0.471832    0.461687    2.093298    2.319718    0.008144    
34          0.453419    0.469138    0.461145    2.071589    2.327729    0.008075    
35          0.459015    0.468058    0.463492    2.042116    2.314413    0.008006    
36          0.456555    0.468264    0.462335    2.023557    2.318795    0.007938    
37          0.454967    0.470132    0.462425    2.007770    2.316768    0.007869    
38          0.455435    0.469246    0.462237    1.987749    2.322769    0.007800    
39          0.460819    0.475647    0.468116    1.976812    2.313564    0.007731    
40          0.458580    0.478949    0.468543    1.943248    2.308538    0.007663    
41          0.462547    0.473681    0.468048    1.929728    2.297313    0.007594    
42          0.460079    0.477807    0.468776    1.917118    2.323402    0.007525    
43          0.455530    0.474667    0.464901    1.895510    2.340772    0.007456    
44          0.459786    0.474089    0.466828    1.874604    2.339459    0.007388    
45          0.461931    0.477696    0.469681    1.855641    2.318812    0.007319    
46          0.459759    0.473297    0.466429    1.844875    2.339614    0.007250    
47          0.465653    0.476863    0.471191    1.819992    2.306236    0.007181    
48          0.454025    0.474514    0.464043    1.801327    2.345623    0.007112    
49          0.463622    0.481591    0.472436    1.789299    2.337440    0.007044    
50          0.461018    0.477685    0.469203    1.770254    2.334299    0.006975    
51          0.461126    0.479497    0.470132    1.755470    2.346042    0.006906    
52          0.458285    0.473389    0.465714    1.742048    2.370805    0.006838    
53          0.456793    0.472806    0.464662    1.733742    2.363009    0.006769    
54          0.467190    0.478617    0.472835    1.714962    2.353064    0.006700    
55          0.460041    0.478716    0.469193    1.698044    2.374940    0.006631    
56          0.459581    0.476108    0.467698    1.682730    2.374606    0.006562    
57          0.464402    0.476923    0.470580    1.667380    2.348364    0.006494    
58          0.462401    0.482790    0.472375    1.654949    2.394398    0.006425    
59          0.460603    0.479120    0.469679    1.647189    2.380556    0.006356    
60          0.462660    0.474343    0.468428    1.627267    2.375328    0.006288    
61          0.454146    0.471832    0.462820    1.614948    2.412197    0.006219    
62          0.460477    0.480519    0.470285    1.602222    2.412694    0.006150    
63          0.459450    0.470547    0.464932    1.591844    2.416503    0.006081    
64          0.462250    0.476997    0.469508    1.575047    2.415145    0.006013    
65          0.459125    0.476302    0.467556    1.564141    2.402591    0.005944    
66          0.465663    0.473013    0.469309    1.558335    2.414896    0.005875    
67          0.460965    0.480935    0.470738    1.541947    2.440423    0.005806    
68          0.456675    0.480419    0.468246    1.527647    2.434195    0.005737    
69          0.460712    0.472560    0.466561    1.516482    2.434195    0.005669    
70          0.461926    0.475116    0.468428    1.505144    2.413067    0.005600    
71          0.455147    0.467763    0.461369    1.499980    2.437597    0.005531    
72          0.464983    0.478423    0.471607    1.478695    2.421338    0.005463    
73          0.453825    0.464156    0.458933    1.466969    2.461097    0.005394    
74          0.455377    0.473377    0.464203    1.456936    2.481760    0.005325    
75          0.457956    0.466827    0.462349    1.443478    2.486024    0.005256    
