epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.006468    0.052582    0.011519    5.373050    5.345746    0.000010    
2           0.061800    0.120538    0.081708    4.949863    4.606120    0.002008    
3           0.114669    0.130869    0.122235    4.515253    4.199121    0.004006    
4           0.154817    0.155501    0.155158    4.220790    3.883631    0.006004    
5           0.198534    0.217745    0.207696    3.960502    3.622565    0.008002    
6           0.224956    0.245018    0.234559    3.765169    3.466641    0.010000    
7           0.242049    0.274843    0.257406    3.568676    3.347170    0.009931    
8           0.275850    0.291126    0.283282    3.430089    3.184704    0.009863    
9           0.293505    0.323754    0.307889    3.290302    3.093393    0.009794    
10          0.310548    0.337492    0.323460    3.189236    3.000581    0.009725    
11          0.322380    0.341524    0.331676    3.087716    2.899322    0.009656    
12          0.337151    0.361362    0.348837    2.990564    2.858257    0.009588    
13          0.362485    0.380150    0.371107    2.908884    2.762165    0.009519    
14          0.371901    0.384702    0.378193    2.829364    2.673399    0.009450    
15          0.386455    0.405052    0.395535    2.770176    2.620554    0.009381    
16          0.388769    0.409942    0.399075    2.707628    2.608234    0.009312    
17          0.392712    0.410172    0.401252    2.650665    2.584528    0.009244    
18          0.396489    0.419940    0.407878    2.590001    2.566580    0.009175    
19          0.409834    0.435646    0.422346    2.551127    2.503230    0.009106    
20          0.409336    0.433832    0.421228    2.500152    2.489479    0.009038    
21          0.412628    0.439058    0.425433    2.462189    2.482117    0.008969    
22          0.423061    0.439528    0.431137    2.418129    2.426876    0.008900    
23          0.434052    0.452534    0.443100    2.385076    2.397227    0.008831    
24          0.437046    0.449593    0.443231    2.343427    2.361777    0.008762    
25          0.443353    0.456395    0.449779    2.303081    2.359597    0.008694    
26          0.435332    0.464676    0.449525    2.289273    2.382411    0.008625    
27          0.439411    0.458736    0.448865    2.254123    2.363604    0.008556    
28          0.438684    0.456432    0.447382    2.228998    2.357517    0.008488    
29          0.445291    0.464291    0.454592    2.198568    2.349712    0.008419    
30          0.447927    0.462986    0.455332    2.172305    2.353175    0.008350    
31          0.452943    0.465788    0.459276    2.141147    2.316364    0.008281    
32          0.459950    0.476626    0.468139    2.119927    2.296985    0.008212    
33          0.456252    0.474242    0.465073    2.090750    2.312654    0.008144    
34          0.455094    0.471099    0.462958    2.076191    2.307136    0.008075    
35          0.459640    0.476088    0.467720    2.048491    2.309597    0.008006    
36          0.449257    0.463252    0.456147    2.027736    2.326472    0.007938    
37          0.459967    0.471068    0.465452    2.010145    2.293340    0.007869    
38          0.457316    0.470517    0.463822    1.990674    2.326223    0.007800    
39          0.463308    0.485060    0.473935    1.974403    2.295999    0.007731    
40          0.459971    0.472941    0.466366    1.950769    2.290882    0.007663    
41          0.464145    0.473723    0.468885    1.932776    2.289484    0.007594    
42          0.461380    0.482606    0.471755    1.908395    2.314360    0.007525    
43          0.458127    0.478067    0.467885    1.890330    2.321180    0.007456    
44          0.459891    0.472753    0.466233    1.873136    2.334258    0.007388    
45          0.456336    0.475833    0.465881    1.851871    2.359759    0.007319    
46          0.462921    0.474208    0.468496    1.848054    2.335343    0.007250    
47          0.461501    0.477333    0.469284    1.821590    2.310454    0.007181    
48          0.455343    0.479173    0.466955    1.812809    2.357996    0.007112    
49          0.461754    0.473167    0.467391    1.793090    2.317916    0.007044    
50          0.455965    0.468584    0.462188    1.774160    2.342392    0.006975    
51          0.457919    0.477612    0.467558    1.759638    2.350062    0.006906    
52          0.460855    0.473740    0.467209    1.741719    2.344435    0.006838    
53          0.459963    0.470563    0.465202    1.733107    2.326486    0.006769    
54          0.466248    0.470687    0.468457    1.721127    2.321245    0.006700    
55          0.468212    0.483520    0.475743    1.705577    2.315157    0.006631    
56          0.471425    0.483979    0.477620    1.683992    2.325457    0.006562    
57          0.460105    0.479138    0.469428    1.667451    2.361235    0.006494    
58          0.464081    0.479552    0.471690    1.662139    2.377570    0.006425    
59          0.464854    0.476994    0.470846    1.649261    2.340821    0.006356    
60          0.468012    0.479241    0.473560    1.637795    2.348686    0.006288    
61          0.457899    0.473588    0.465612    1.620548    2.377425    0.006219    
62          0.458644    0.476323    0.467316    1.602005    2.387772    0.006150    
63          0.460205    0.477873    0.468873    1.595424    2.389459    0.006081    
64          0.463377    0.481128    0.472086    1.581395    2.393257    0.006013    
65          0.466247    0.477477    0.471795    1.568764    2.375793    0.005944    
66          0.461767    0.471728    0.466694    1.553585    2.408293    0.005875    
67          0.463856    0.473035    0.468401    1.543442    2.396939    0.005806    
68          0.454731    0.467544    0.461048    1.528321    2.443658    0.005737    
69          0.462107    0.471567    0.466789    1.514688    2.411855    0.005669    
70          0.462191    0.473356    0.467707    1.502981    2.383203    0.005600    
71          0.458868    0.469341    0.464046    1.495463    2.426105    0.005531    
72          0.464638    0.473343    0.468950    1.484153    2.421358    0.005463    
73          0.460165    0.470794    0.465419    1.465557    2.443229    0.005394    
74          0.464806    0.478220    0.471417    1.463740    2.445620    0.005325    
75          0.460296    0.475417    0.467735    1.444723    2.457208    0.005256    
76          0.460436    0.474248    0.467240    1.436337    2.440769    0.005188    
77          0.458563    0.472875    0.465609    1.423471    2.446014    0.005119    
78          0.460369    0.471973    0.466099    1.417186    2.464587    0.005050    
79          0.458338    0.469055    0.463635    1.403994    2.472441    0.004981    
80          0.458452    0.471846    0.465052    1.393803    2.468961    0.004913    
81          0.460625    0.473717    0.467079    1.385661    2.489065    0.004844    
82          0.452495    0.465904    0.459102    1.370104    2.495711    0.004775    
83          0.452140    0.463260    0.457633    1.366375    2.496111    0.004706    
84          0.461062    0.470901    0.465930    1.349678    2.489178    0.004638    
85          0.456479    0.467236    0.461795    1.340314    2.493705    0.004569    
86          0.451000    0.457649    0.454300    1.331231    2.520734    0.004500    
