epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.008439    0.308835    0.016428    5.319568    5.315988    0.000010    
2           0.041292    0.169401    0.066399    5.137949    4.859688    0.002008    
3           0.093125    0.153272    0.115858    4.685049    4.319207    0.004006    
4           0.134557    0.171114    0.150649    4.341063    4.019014    0.006004    
5           0.152937    0.179786    0.165278    4.100839    3.843943    0.008002    
6           0.182880    0.204338    0.193015    3.933540    3.676965    0.010000    
7           0.210907    0.211715    0.211310    3.725940    3.511037    0.009931    
8           0.237804    0.247925    0.242759    3.599273    3.331207    0.009863    
9           0.256493    0.256046    0.256269    3.472402    3.237107    0.009794    
10          0.271071    0.280847    0.275872    3.359112    3.135915    0.009725    
11          0.291755    0.301299    0.296450    3.269348    3.059307    0.009656    
12          0.311925    0.325544    0.318589    3.162632    2.958971    0.009588    
13          0.320934    0.332591    0.326658    3.070301    2.885527    0.009519    
14          0.324564    0.348399    0.336059    2.977343    2.878837    0.009450    
15          0.345599    0.359349    0.352340    2.907998    2.739968    0.009381    
16          0.360694    0.380980    0.370560    2.834928    2.705925    0.009312    
17          0.366814    0.390316    0.378200    2.766106    2.664729    0.009244    
18          0.388013    0.408237    0.397868    2.703767    2.597274    0.009175    
19          0.391188    0.401744    0.396396    2.643295    2.560653    0.009106    
20          0.386849    0.413004    0.399499    2.601111    2.552946    0.009038    
21          0.407908    0.421921    0.414796    2.550092    2.465278    0.008969    
22          0.408503    0.424926    0.416553    2.503360    2.483981    0.008900    
23          0.406113    0.420800    0.413326    2.464405    2.452347    0.008831    
24          0.424266    0.437606    0.430832    2.410885    2.393268    0.008762    
25          0.429594    0.438895    0.434195    2.379839    2.401692    0.008694    
26          0.426521    0.443138    0.434671    2.352985    2.373732    0.008625    
27          0.435820    0.444491    0.440113    2.314285    2.346530    0.008556    
28          0.442101    0.462641    0.452138    2.285167    2.320813    0.008488    
29          0.440563    0.464203    0.452075    2.249382    2.329999    0.008419    
30          0.446615    0.471144    0.458552    2.216395    2.310150    0.008350    
31          0.453551    0.466058    0.459720    2.181667    2.277420    0.008281    
32          0.448925    0.465225    0.456929    2.153833    2.307471    0.008212    
33          0.448316    0.465693    0.456839    2.129187    2.300655    0.008144    
34          0.453237    0.474815    0.463775    2.104367    2.281494    0.008075    
35          0.464173    0.481326    0.472594    2.076918    2.256203    0.008006    
36          0.460879    0.474322    0.467504    2.051383    2.243652    0.007938    
37          0.461893    0.478287    0.469947    2.021285    2.259837    0.007869    
38          0.463173    0.479205    0.471053    1.997265    2.251048    0.007800    
39          0.462298    0.477886    0.469963    1.972186    2.251437    0.007731    
40          0.461345    0.475393    0.468264    1.946077    2.250187    0.007663    
41          0.467624    0.482814    0.475098    1.932236    2.235028    0.007594    
42          0.465335    0.489523    0.477122    1.906277    2.239379    0.007525    
43          0.467871    0.478321    0.473038    1.884814    2.232583    0.007456    
44          0.468649    0.480434    0.474468    1.861978    2.226841    0.007388    
45          0.474704    0.487710    0.481119    1.847784    2.223187    0.007319    
46          0.469349    0.486826    0.477928    1.823483    2.225039    0.007250    
47          0.477351    0.497413    0.487176    1.796606    2.223645    0.007181    
48          0.472302    0.486117    0.479110    1.776454    2.226771    0.007112    
49          0.481339    0.493755    0.487468    1.767038    2.218035    0.007044    
50          0.471036    0.491439    0.481021    1.745779    2.244591    0.006975    
51          0.477621    0.489693    0.483581    1.725822    2.226271    0.006906    
52          0.477431    0.488819    0.483058    1.699508    2.230804    0.006838    
53          0.479836    0.494039    0.486834    1.684327    2.221877    0.006769    
54          0.484588    0.498518    0.491454    1.661753    2.210707    0.006700    
55          0.473320    0.487561    0.480335    1.654478    2.256520    0.006631    
56          0.477859    0.493245    0.485430    1.632531    2.244629    0.006562    
57          0.474201    0.487729    0.480870    1.614082    2.253379    0.006494    
58          0.477176    0.490094    0.483549    1.598726    2.242949    0.006425    
59          0.477221    0.497691    0.487241    1.584566    2.246769    0.006356    
60          0.472735    0.485934    0.479244    1.568705    2.243573    0.006288    
61          0.476196    0.496436    0.486105    1.546036    2.271053    0.006219    
62          0.476607    0.487883    0.482179    1.538910    2.294761    0.006150    
63          0.478801    0.489014    0.483854    1.515734    2.279046    0.006081    
64          0.476569    0.495143    0.485679    1.498138    2.283322    0.006013    
65          0.481046    0.494302    0.487584    1.480666    2.280396    0.005944    
66          0.479290    0.493219    0.486155    1.470060    2.298669    0.005875    
67          0.479008    0.488336    0.483627    1.450334    2.289449    0.005806    
68          0.482890    0.495772    0.489246    1.444108    2.281012    0.005737    
69          0.480820    0.490695    0.485708    1.422232    2.287551    0.005669    
70          0.482538    0.494285    0.488341    1.398562    2.293423    0.005600    
71          0.473578    0.487831    0.480599    1.384761    2.336352    0.005531    
72          0.482365    0.487387    0.484863    1.379671    2.307657    0.005463    
73          0.479349    0.498400    0.488689    1.360220    2.325089    0.005394    
74          0.478605    0.492105    0.485261    1.347633    2.326885    0.005325    
75          0.477967    0.485827    0.481865    1.335241    2.348450    0.005256    
76          0.479305    0.490629    0.484901    1.315684    2.358596    0.005188    
77          0.481395    0.491061    0.486180    1.305439    2.339176    0.005119    
78          0.486104    0.498527    0.492237    1.289606    2.339381    0.005050    
79          0.480944    0.494174    0.487469    1.284182    2.364720    0.004981    
80          0.486175    0.495460    0.490773    1.270331    2.339652    0.004913    
81          0.486325    0.498263    0.492222    1.250653    2.379282    0.004844    
82          0.475590    0.493766    0.484508    1.238425    2.395637    0.004775    
83          0.479217    0.494561    0.486768    1.226602    2.393968    0.004706    
84          0.477454    0.491734    0.484489    1.208382    2.406586    0.004638    
85          0.479143    0.487177    0.483127    1.198912    2.411056    0.004569    
86          0.478601    0.488884    0.483688    1.182139    2.422779    0.004500    
87          0.475427    0.488470    0.481860    1.177603    2.442581    0.004431    
88          0.476728    0.488074    0.482334    1.157385    2.425366    0.004363    
89          0.474214    0.486145    0.480105    1.150551    2.437499    0.004294    
90          0.473912    0.484603    0.479198    1.139542    2.469484    0.004225    
91          0.476803    0.489808    0.483218    1.128722    2.434461    0.004156    
92          0.481833    0.487210    0.484507    1.122571    2.444228    0.004088    
93          0.477307    0.488387    0.482783    1.108349    2.473989    0.004019    
94          0.476700    0.484488    0.480562    1.093991    2.490955    0.003950    
95          0.474465    0.481332    0.477874    1.084216    2.481828    0.003881    
96          0.475342    0.481170    0.478238    1.071329    2.477105    0.003813    
97          0.476016    0.489150    0.482494    1.062287    2.503169    0.003744    
98          0.482037    0.489783    0.485879    1.052565    2.484209    0.003675    
99          0.473127    0.485651    0.479307    1.037220    2.512265    0.003606    
100         0.469192    0.480363    0.474712    1.031901    2.504914    0.003537    
101         0.474777    0.478818    0.476789    1.019732    2.543052    0.003469    
102         0.480622    0.485619    0.483108    1.009188    2.525550    0.003400    
103         0.469540    0.478383    0.473920    1.000572    2.523135    0.003331    
104         0.475166    0.483002    0.479052    0.987159    2.562170    0.003262    
105         0.476494    0.482299    0.479379    0.980899    2.525857    0.003194    
106         0.478602    0.485925    0.482236    0.967253    2.532374    0.003125    
107         0.476303    0.486111    0.481157    0.959252    2.567617    0.003056    
108         0.477095    0.481863    0.479467    0.952517    2.569571    0.002987    
