epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.004588    0.323523    0.009047    5.313430    5.310054    0.000010    
2           0.053126    0.143300    0.077515    5.115879    4.793199    0.002008    
3           0.100124    0.155543    0.121827    4.619474    4.296594    0.004006    
4           0.130322    0.152231    0.140427    4.314120    4.016016    0.006004    
5           0.157904    0.192888    0.173651    4.098188    3.812362    0.008002    
6           0.191679    0.213504    0.202003    3.906857    3.627205    0.010000    
7           0.219286    0.234141    0.226470    3.718958    3.448741    0.009931    
8           0.237663    0.252305    0.244765    3.592763    3.358041    0.009863    
9           0.259861    0.270670    0.265155    3.447576    3.242755    0.009794    
10          0.282449    0.295597    0.288874    3.354139    3.125751    0.009725    
11          0.288748    0.301829    0.295144    3.258979    3.094439    0.009656    
12          0.310396    0.321497    0.315849    3.164193    2.972726    0.009588    
13          0.321044    0.331188    0.326037    3.090140    2.895828    0.009519    
14          0.337169    0.346502    0.341772    2.991377    2.844583    0.009450    
15          0.355908    0.372991    0.364249    2.922280    2.755423    0.009381    
16          0.355975    0.375219    0.365344    2.868253    2.754761    0.009312    
17          0.349098    0.379106    0.363484    2.800106    2.759683    0.009244    
18          0.372241    0.398333    0.384845    2.744775    2.667071    0.009175    
19          0.389558    0.404983    0.397120    2.691605    2.589566    0.009106    
20          0.388280    0.408802    0.398277    2.638202    2.581172    0.009038    
21          0.401227    0.419855    0.410330    2.590883    2.537938    0.008969    
22          0.399947    0.418394    0.408962    2.548454    2.532102    0.008900    
23          0.404881    0.425073    0.414731    2.507655    2.497896    0.008831    
24          0.403368    0.417776    0.410445    2.473466    2.503067    0.008762    
25          0.414584    0.438511    0.426212    2.427666    2.441810    0.008694    
26          0.424707    0.442147    0.433252    2.402845    2.428280    0.008625    
27          0.419051    0.439140    0.428861    2.363875    2.432122    0.008556    
28          0.425400    0.443529    0.434275    2.326440    2.399929    0.008488    
29          0.435640    0.456008    0.445591    2.294789    2.378857    0.008419    
30          0.435230    0.449257    0.442132    2.270880    2.362315    0.008350    
31          0.440344    0.460199    0.450053    2.244060    2.361746    0.008281    
32          0.441447    0.454021    0.447645    2.206109    2.357289    0.008212    
33          0.437810    0.451421    0.444511    2.184357    2.353037    0.008144    
34          0.447339    0.459806    0.453487    2.162912    2.305461    0.008075    
35          0.445709    0.463319    0.454344    2.125689    2.325377    0.008006    
36          0.447057    0.466895    0.456761    2.105739    2.315858    0.007938    
37          0.444590    0.461760    0.453012    2.088805    2.325693    0.007869    
38          0.453231    0.465732    0.459396    2.062711    2.307829    0.007800    
39          0.452169    0.463087    0.457563    2.041669    2.302595    0.007731    
40          0.451033    0.472363    0.461452    2.014338    2.333031    0.007663    
41          0.450601    0.474169    0.462085    1.993726    2.318595    0.007594    
42          0.459485    0.470808    0.465078    1.972098    2.289754    0.007525    
