epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.005106    0.374814    0.010076    5.307785    5.302983    0.000010    
2           0.042383    0.193169    0.069514    5.132015    4.859746    0.002008    
3           0.090818    0.152005    0.113702    4.704204    4.342994    0.004006    
4           0.138312    0.180185    0.156496    4.346479    4.002331    0.006004    
5           0.167373    0.201559    0.182882    4.111792    3.813372    0.008002    
6           0.200121    0.228220    0.213249    3.920927    3.582626    0.010000    
7           0.217022    0.233138    0.224792    3.733120    3.473382    0.009931    
8           0.244035    0.268682    0.255766    3.570623    3.325764    0.009863    
9           0.268000    0.299799    0.283009    3.439607    3.208039    0.009794    
10          0.273547    0.297429    0.284989    3.322505    3.160146    0.009725    
11          0.292951    0.333178    0.311772    3.233664    3.061044    0.009656    
12          0.313450    0.325328    0.319278    3.130437    2.943064    0.009588    
13          0.345843    0.362245    0.353854    3.037326    2.783413    0.009519    
14          0.348200    0.366820    0.357267    2.952216    2.777330    0.009450    
15          0.367314    0.392710    0.379588    2.879212    2.674561    0.009381    
16          0.373169    0.405831    0.388815    2.809130    2.657073    0.009312    
17          0.383543    0.399766    0.391487    2.738951    2.598734    0.009244    
18          0.388168    0.406120    0.396941    2.688797    2.576324    0.009175    
19          0.392682    0.417408    0.404668    2.646871    2.565351    0.009106    
20          0.402359    0.421934    0.411914    2.583286    2.539052    0.009038    
21          0.406145    0.421868    0.413857    2.546999    2.475444    0.008969    
22          0.411312    0.436991    0.423763    2.498408    2.473321    0.008900    
23          0.421839    0.439396    0.430438    2.464715    2.426205    0.008831    
24          0.423733    0.447753    0.435412    2.418902    2.436343    0.008762    
25          0.432319    0.459851    0.445660    2.380658    2.384479    0.008694    
26          0.436175    0.455958    0.445847    2.355486    2.377977    0.008625    
27          0.437142    0.459853    0.448210    2.318685    2.351322    0.008556    
28          0.441718    0.451624    0.446616    2.278026    2.333798    0.008488    
29          0.439271    0.461455    0.450090    2.252619    2.347332    0.008419    
30          0.449506    0.470232    0.459636    2.220583    2.310939    0.008350    
31          0.444515    0.466963    0.455463    2.201481    2.326717    0.008281    
32          0.451550    0.471277    0.461203    2.167148    2.296874    0.008212    
33          0.446176    0.471496    0.458487    2.141619    2.338225    0.008144    
34          0.447109    0.473342    0.459852    2.109455    2.292432    0.008075    
35          0.468076    0.482440    0.475149    2.087997    2.237153    0.008006    
36          0.462650    0.485282    0.473696    2.060254    2.258964    0.007938    
37          0.462124    0.474715    0.468335    2.031895    2.242028    0.007869    
38          0.462222    0.491688    0.476500    2.011379    2.268267    0.007800    
39          0.465371    0.487765    0.476305    1.994405    2.236987    0.007731    
40          0.463114    0.478434    0.470649    1.969575    2.254268    0.007663    
41          0.468653    0.487988    0.478125    1.950847    2.234493    0.007594    
42          0.465768    0.482656    0.474062    1.926856    2.255016    0.007525    
43          0.471031    0.488864    0.479782    1.909254    2.234265    0.007456    
44          0.471863    0.490931    0.481208    1.888443    2.235883    0.007388    
45          0.477040    0.491546    0.484184    1.863087    2.212896    0.007319    
46          0.474666    0.492924    0.483623    1.843690    2.233874    0.007250    
47          0.477937    0.492936    0.485321    1.814595    2.212860    0.007181    
48          0.474278    0.491437    0.482705    1.797134    2.243405    0.007112    
49          0.479046    0.496340    0.487539    1.781134    2.228226    0.007044    
50          0.474413    0.491847    0.482973    1.771281    2.261394    0.006975    
51          0.476068    0.498521    0.487036    1.746770    2.236264    0.006906    
52          0.474064    0.499304    0.486356    1.726514    2.245336    0.006838    
53          0.477125    0.496482    0.486611    1.716904    2.231936    0.006769    
54          0.483868    0.498041    0.490852    1.695326    2.223511    0.006700    
55          0.480350    0.497299    0.488677    1.677128    2.237850    0.006631    
56          0.479468    0.495182    0.487198    1.661732    2.230482    0.006562    
57          0.477716    0.495511    0.486451    1.641855    2.234145    0.006494    
58          0.484362    0.504891    0.494413    1.623975    2.233256    0.006425    
59          0.482260    0.499832    0.490889    1.604132    2.233996    0.006356    
60          0.481830    0.494138    0.487907    1.601458    2.256003    0.006288    
61          0.477228    0.497717    0.487258    1.568009    2.273046    0.006219    
62          0.481222    0.496304    0.488647    1.556905    2.270387    0.006150    
63          0.477097    0.491137    0.484015    1.548795    2.285358    0.006081    
64          0.476771    0.493109    0.484802    1.528694    2.269710    0.006013    
65          0.470461    0.484767    0.477507    1.506974    2.293777    0.005944    
66          0.479689    0.500275    0.489766    1.498529    2.294653    0.005875    
67          0.478721    0.494834    0.486644    1.490746    2.289570    0.005806    
68          0.481902    0.497305    0.489483    1.466146    2.287022    0.005737    
69          0.485106    0.501355    0.493097    1.451502    2.287297    0.005669    
70          0.477339    0.491001    0.484074    1.431099    2.286520    0.005600    
71          0.477710    0.493202    0.485332    1.418216    2.308180    0.005531    
72          0.483202    0.495730    0.489386    1.401332    2.318778    0.005463    
73          0.476627    0.494256    0.485281    1.398959    2.346697    0.005394    
74          0.479880    0.493612    0.486649    1.377869    2.332977    0.005325    
75          0.477902    0.487130    0.482472    1.363846    2.338845    0.005256    
76          0.473333    0.488894    0.480988    1.351782    2.331264    0.005188    
77          0.472179    0.488251    0.480080    1.334346    2.347169    0.005119    
78          0.472150    0.488345    0.480111    1.321101    2.350703    0.005050    
79          0.477777    0.488149    0.482907    1.303453    2.362753    0.004981    
80          0.472568    0.490288    0.481265    1.288588    2.393280    0.004913    
81          0.479006    0.493170    0.485985    1.283655    2.375753    0.004844    
82          0.470174    0.484767    0.477359    1.263114    2.403766    0.004775    
83          0.470966    0.485601    0.478172    1.251777    2.411975    0.004706    
84          0.471601    0.487835    0.479581    1.243993    2.417631    0.004638    
85          0.475309    0.488828    0.481974    1.227397    2.405409    0.004569    
86          0.476950    0.489991    0.483382    1.217344    2.366888    0.004500    
87          0.476140    0.485496    0.480773    1.197827    2.408905    0.004431    
88          0.475583    0.487418    0.481428    1.182930    2.419745    0.004363    
89          0.473421    0.486184    0.479718    1.178594    2.457526    0.004294    
90          0.475540    0.487246    0.481322    1.161208    2.456431    0.004225    
91          0.477541    0.486227    0.481845    1.152095    2.437102    0.004156    
92          0.474474    0.486278    0.480304    1.134248    2.476542    0.004088    
93          0.470107    0.481768    0.475866    1.124276    2.469251    0.004019    
94          0.474750    0.484290    0.479473    1.110139    2.450841    0.003950    
95          0.474012    0.485381    0.479629    1.094480    2.475021    0.003881    
96          0.477424    0.492439    0.484815    1.089613    2.470388    0.003813    
97          0.474498    0.484393    0.479394    1.077799    2.514156    0.003744    
98          0.472869    0.483906    0.478324    1.067764    2.493950    0.003675    
99          0.470798    0.484004    0.477309    1.053565    2.523380    0.003606    
