epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.003330    0.343495    0.006597    5.312682    5.310860    0.000010    
2           0.050789    0.183244    0.079534    5.087458    4.802968    0.002008    
3           0.091092    0.154092    0.114498    4.691898    4.364695    0.004006    
4           0.116461    0.191188    0.144749    4.372255    4.125720    0.006004    
5           0.158039    0.187096    0.171344    4.159728    3.869998    0.008002    
6           0.187679    0.241197    0.211099    3.957941    3.665181    0.010000    
7           0.220559    0.239640    0.229704    3.754069    3.459233    0.009931    
8           0.232191    0.279012    0.253457    3.618371    3.393515    0.009863    
9           0.258759    0.287917    0.272561    3.471169    3.258573    0.009794    
10          0.288668    0.300786    0.294603    3.366483    3.107253    0.009725    
11          0.307518    0.331879    0.319235    3.263757    3.019620    0.009656    
12          0.314619    0.352172    0.332338    3.163986    2.961696    0.009588    
13          0.338606    0.355119    0.346666    3.076980    2.863266    0.009519    
14          0.341327    0.367723    0.354034    2.992374    2.820463    0.009450    
15          0.364830    0.379004    0.371782    2.909359    2.704224    0.009381    
16          0.372164    0.385929    0.378922    2.838783    2.671140    0.009312    
17          0.382778    0.402187    0.392243    2.782973    2.637425    0.009244    
18          0.384363    0.405322    0.394565    2.726884    2.605490    0.009175    
19          0.392508    0.420684    0.406108    2.680352    2.565312    0.009106    
20          0.398415    0.425599    0.411558    2.623007    2.526261    0.009038    
21          0.412391    0.433934    0.422888    2.584141    2.471812    0.008969    
22          0.409446    0.428478    0.418746    2.538220    2.489045    0.008900    
23          0.421934    0.444819    0.433075    2.494954    2.426346    0.008831    
24          0.427769    0.452889    0.439971    2.457595    2.413275    0.008762    
25          0.435094    0.458205    0.446351    2.419235    2.383608    0.008694    
26          0.434909    0.456780    0.445576    2.386909    2.372134    0.008625    
27          0.439064    0.458219    0.448437    2.360789    2.350271    0.008556    
28          0.433881    0.462303    0.447642    2.320605    2.360166    0.008488    
29          0.437428    0.459704    0.448289    2.297467    2.349214    0.008419    
30          0.443338    0.459148    0.451105    2.269339    2.346685    0.008350    
31          0.451670    0.481781    0.466240    2.241001    2.323026    0.008281    
32          0.447252    0.473722    0.460107    2.222128    2.308263    0.008212    
33          0.453178    0.470373    0.461615    2.189985    2.277767    0.008144    
34          0.443889    0.475458    0.459132    2.166659    2.318223    0.008075    
35          0.455969    0.481666    0.468466    2.135831    2.285548    0.008006    
36          0.462890    0.485252    0.473807    2.116674    2.261980    0.007938    
37          0.452074    0.471447    0.461557    2.098990    2.306661    0.007869    
38          0.462721    0.482988    0.472638    2.082761    2.274387    0.007800    
39          0.465707    0.477460    0.471510    2.052966    2.248247    0.007731    
40          0.458777    0.480402    0.469340    2.036124    2.260011    0.007663    
41          0.461913    0.480002    0.470784    2.008637    2.261231    0.007594    
42          0.471742    0.483257    0.477430    1.993357    2.236179    0.007525    
43          0.466232    0.485037    0.475449    1.968506    2.251467    0.007456    
44          0.470374    0.490726    0.480334    1.950835    2.247336    0.007388    
45          0.468259    0.490548    0.479145    1.941068    2.245284    0.007319    
46          0.474739    0.489474    0.481994    1.911506    2.207229    0.007250    
47          0.477283    0.495115    0.486035    1.907479    2.210862    0.007181    
48          0.469123    0.490900    0.479764    1.880391    2.237600    0.007112    
