epoch       recall      precision   f1_score    train_loss  val_loss    lr          
1           0.007829    0.044040    0.013295    5.353202    5.334440    0.000010    
2           0.061169    0.121637    0.081403    4.924420    4.612146    0.002008    
3           0.102451    0.136655    0.117107    4.568668    4.259167    0.004006    
4           0.138379    0.167935    0.151731    4.290771    4.000712    0.006004    
5           0.175858    0.207286    0.190283    4.092885    3.755123    0.008002    
6           0.201121    0.219268    0.209802    3.897207    3.589103    0.010000    
7           0.224171    0.253224    0.237813    3.694326    3.456175    0.009931    
8           0.243339    0.270735    0.256307    3.558223    3.367862    0.009863    
9           0.275416    0.290622    0.282815    3.442011    3.190741    0.009794    
10          0.284743    0.314113    0.298708    3.328637    3.139898    0.009725    
11          0.295605    0.317189    0.306017    3.231430    3.059218    0.009656    
12          0.314350    0.336666    0.325126    3.138760    2.954175    0.009588    
13          0.330208    0.342280    0.336136    3.050479    2.852348    0.009519    
14          0.346945    0.362426    0.354517    2.971315    2.813647    0.009450    
15          0.358655    0.380018    0.369028    2.907777    2.730548    0.009381    
16          0.368861    0.386311    0.377384    2.840259    2.700133    0.009312    
17          0.377439    0.392619    0.384880    2.791572    2.671098    0.009244    
18          0.385548    0.402372    0.393780    2.742982    2.609726    0.009175    
19          0.388580    0.411054    0.399501    2.697265    2.591036    0.009106    
20          0.385660    0.410578    0.397729    2.653976    2.571400    0.009038    
21          0.403703    0.426926    0.414990    2.608110    2.540017    0.008969    
22          0.409693    0.425127    0.417267    2.570308    2.499472    0.008900    
23          0.409626    0.424006    0.416692    2.536004    2.523480    0.008831    
24          0.410449    0.439581    0.424516    2.513296    2.509375    0.008762    
25          0.420188    0.436463    0.428171    2.478883    2.446216    0.008694    
26          0.421444    0.436353    0.428769    2.447524    2.462526    0.008625    
27          0.426555    0.437908    0.432157    2.425653    2.426978    0.008556    
28          0.428044    0.451829    0.439615    2.387249    2.410881    0.008488    
29          0.429236    0.447980    0.438408    2.360520    2.417226    0.008419    
30          0.428063    0.446501    0.437088    2.339713    2.402103    0.008350    
31          0.426019    0.439496    0.432652    2.317275    2.420472    0.008281    
32          0.438497    0.453938    0.446084    2.291242    2.382599    0.008212    
33          0.439438    0.460494    0.449720    2.277101    2.371367    0.008144    
34          0.429057    0.446711    0.437706    2.250185    2.402130    0.008075    
35          0.445398    0.458368    0.451790    2.230133    2.348840    0.008006    
36          0.444044    0.453985    0.448960    2.208101    2.353340    0.007938    
37          0.439063    0.455523    0.447142    2.192867    2.349382    0.007869    
38          0.441499    0.457196    0.449210    2.171605    2.362794    0.007800    
39          0.439663    0.449605    0.444578    2.149077    2.373006    0.007731    
40          0.439086    0.451643    0.445276    2.131690    2.346181    0.007663    
41          0.446229    0.459399    0.452718    2.114540    2.361920    0.007594    
42          0.448874    0.462728    0.455696    2.093476    2.341731    0.007525    
43          0.439954    0.461804    0.450614    2.077529    2.380530    0.007456    
44          0.451944    0.465036    0.458397    2.065617    2.319372    0.007388    
45          0.447310    0.462514    0.454785    2.041332    2.322529    0.007319    
46          0.450129    0.462780    0.456367    2.029011    2.332431    0.007250    
47          0.453325    0.463601    0.458406    2.005130    2.320946    0.007181    
48          0.454314    0.469146    0.461611    2.000882    2.325709    0.007112    
49          0.450625    0.464195    0.457309    1.973162    2.319552    0.007044    
50          0.452087    0.458943    0.455489    1.966095    2.310218    0.006975    
51          0.452135    0.470707    0.461234    1.945659    2.328889    0.006906    
52          0.445804    0.456398    0.451039    1.940285    2.353767    0.006838    
53          0.447256    0.461546    0.454289    1.926155    2.340574    0.006769    
54          0.450231    0.464307    0.457160    1.903240    2.344590    0.006700    
55          0.450362    0.462110    0.456161    1.893046    2.352597    0.006631    
56          0.454998    0.465609    0.460243    1.886765    2.342140    0.006562    
57          0.454779    0.461531    0.458130    1.874289    2.341710    0.006494    
58          0.455717    0.466229    0.460913    1.862594    2.352207    0.006425    
59          0.450272    0.465903    0.457954    1.840821    2.372357    0.006356    
